PRESIDENT,BIRTH DATE,BIRTH PLACE,DEATH DATE,LOCATION OF DEATH,year_of_birth,lived_years,lived_months,lived_days
John F. Kennedy,1917-05-29,"Brookline, Mass.",1963-11-22,"Dallas, Texas",1917,46,558,16978
James A. Garfield,1831-11-19,"Cuyahoga Co., Ohio",1881-09-19,"Elberon, New Jersey",1831,50,598,18202
James K. Polk,1795-11-02,"Mecklenburg Co., N.C.",1849-06-15,"Nashville, Tennessee",1795,54,643,19583
Abraham Lincoln,1809-02-12,"LaRue Co., Kentucky",1865-04-15,"Washington, D.C.",1809,56,674,20516
Chester Arthur,1829-10-05,"Fairfield, Vermont",1886-11-18,"New York, New York",1829,57,685,20863
Warren G. Harding,1865-11-02,"Morrow County, Ohio",1923-08-02,"San Francisco, Cal.",1865,58,693,21091
William McKinley,1843-01-29,"Niles, Ohio",1901-09-14,"Buffalo, New York",1843,58,704,21412
Theodore Roosevelt,1858-10-27,"New York, New York",1919-01-06,"Oyster Bay, New York",1858,61,723,21985
Calvin Coolidge,1872-07-04,"Plymouth, Vermont",1933-01-05,"Northampton, Mass.",1872,61,726,22099
Barack Obama,1961-08-04,"Honolulu, Hawaii",,,1961,62,742,22582
